timestamp,altitude,vitesse,ax,ay,az,roll,pitch,yaw
50,9.25,6.92,-0.08,0.19,9.72,-0.39,0.45,264.18
51,9.21,6.99,0.37,0.22,9.96,-0.26,-0.14,263.8
52,9.31,6.8,-0.31,-0.21,9.68,-0.36,-0.19,263.5
53,9.35,6.9,0.2,-0.12,9.53,0.08,0.02,262.58
54,9.5,7.07,-0.33,-0.02,9.72,-0.69,-0.32,262.4
55,9.48,7.1,0.32,0.08,9.93,-0.68,-0.18,261.94
56,9.29,7.01,0.09,-0.5,9.83,-0.25,-0.3,261.85
57,9.48,7.15,0.39,0.23,9.94,0.08,-0.2,261.0
58,9.68,6.96,0.42,-0.11,10.11,0.04,-0.0,259.82
59,9.61,6.79,0.26,0.42,9.95,-0.0,-0.39,259.43
60,9.5,6.65,0.13,0.21,10.06,0.01,-0.34,259.19
61,9.54,6.71,0.19,0.27,10.05,0.36,-0.17,259.21
62,9.65,6.75,-0.39,0.33,9.76,-0.04,-0.53,259.22
63,9.49,6.86,0.25,0.38,10.09,0.08,-0.51,259.89
64,9.31,6.89,-0.44,0.3,9.57,-0.45,-0.68,260.68
65,9.4,6.8,0.21,0.44,9.59,-0.59,-0.69,260.47
66,9.21,6.66,0.44,-0.09,9.99,-1.38,-0.7,260.73
67,9.28,6.71,-0.28,0.22,9.76,-2.3,-0.51,261.37
68,9.24,6.64,-0.22,0.13,10.07,-2.04,-0.56,261.27
69,9.15,6.71,0.41,0.12,9.6,-2.12,-0.73,261.41
70,9.18,6.89,-0.03,0.25,9.53,-2.41,-0.35,262.18
71,9.14,6.95,0.16,0.25,9.97,-2.46,-0.26,262.86
72,8.99,6.81,0.31,-0.38,9.83,-1.99,0.08,263.34
73,8.96,6.86,0.05,-0.32,9.76,-1.67,0.38,263.54
74,8.91,6.85,-0.27,0.22,9.8,-1.8,0.28,263.5
75,8.89,6.82,-0.5,0.06,9.81,-1.4,0.11,263.38
76,9.06,6.9,0.4,0.13,10.11,-0.89,0.2,263.35
77,9.11,6.85,0.25,-0.43,10.0,0.64,0.54,261.65
78,9.02,6.77,0.08,0.24,9.54,1.25,0.64,260.35
79,9.09,6.8,-0.44,0.25,9.97,3.02,0.59,258.64
80,8.34,6.27,0.46,0.36,9.83,3.78,-0.03,257.25
81,7.82,5.77,0.11,-0.24,9.63,4.18,-0.55,256.05
82,7.19,5.28,-0.15,0.4,9.57,5.05,-1.18,253.78
83,6.69,4.66,0.04,0.08,9.57,4.02,-1.54,252.35
84,6.08,4.06,-0.06,0.37,9.72,3.37,-1.93,251.32
85,5.1,3.42,0.14,-0.46,9.57,2.44,-2.41,249.57
86,4.12,3.07,-0.4,0.38,9.62,1.83,-3.18,249.49
87,3.2,2.52,-0.37,-0.38,9.85,2.02,-2.93,248.25
88,2.44,2.14,-0.48,0.17,9.76,1.66,-3.18,248.16
89,1.7,1.79,-0.48,0.19,10.1,1.6,-3.55,247.25
90,0.76,1.33,0.01,0.12,10.1,1.33,-3.52,246.52
91,0,0.8,-0.44,0.49,10.07,1.11,-3.12,246.24
92,0,0.26,-0.02,0.44,9.91,1.2,-3.09,245.41
93,0,0,-0.06,0.43,9.55,0.95,-3.35,245.17
94,0,0,-0.11,-0.17,9.59,1.64,-3.48,245.17
95,0,0,0.27,0.33,9.9,2.26,-3.52,245.53
96,0,0,0.12,0.03,10.07,2.41,-3.43,245.88
97,0,0,0.16,0.38,9.69,1.44,-3.46,245.67
98,0,0,0.29,-0.21,9.72,1.39,-3.55,244.98
99,0,0,0.0,-0.38,9.95,0.9,-3.73,245.68
100,0,0,0.37,0.13,9.84,1.01,-3.9,245.45
101,0,0,-0.11,-0.4,9.8,-0.04,-3.71,246.45
102,0,0,-0.41,0.03,9.58,-0.51,-4.17,246.47
103,0,0,-0.42,-0.47,9.94,-0.39,-4.19,246.51
104,0,0,-0.07,0.19,9.69,-0.39,-4.23,247.19
105,0,0,-0.24,0.04,9.63,-0.23,-4.21,246.8
106,0,0,0.36,-0.1,9.76,-0.23,-4.42,251.62
107,0,0,-0.22,0.4,9.99,-0.75,-4.38,256.78
108,0,0,0.15,0.41,9.52,-0.83,-4.54,262.66
109,0,0,-0.37,0.4,9.78,-1.05,-4.38,267.04
110,0,0,-0.26,0.42,10.07,-0.71,-4.45,270.46
111,0,0,-0.38,-0.46,9.93,-0.89,-4.4,274.13
112,0,0,0.45,0.2,10.05,-0.32,-4.44,277.45
113,0,0,0.19,0.04,9.64,0.14,-4.72,280.59
114,0,0,-0.37,-0.18,9.66,0.33,-4.4,282.95
115,0,0,-0.18,-0.09,10.11,0.27,-4.04,284.75
116,0,0,0.26,-0.36,9.86,-0.68,-3.95,287.03
117,0,0,0.23,0.04,9.76,-0.08,-3.75,287.92
118,0,0,0.38,0.4,10.0,-0.42,-3.63,290.0
119,0,0,-0.01,-0.0,9.99,-0.61,-3.64,290.99
